log_id,order_id,warehouse_id,picking_start,picking_end,dispatch_time,notes
1,2902,9,2025-07-17 07:52:52,2025-07-17 08:00:52,2025-07-17 08:56:52,
2,1733,19,2025-04-27 10:57:32,2025-04-27 11:02:32,2025-04-27 11:28:32,Stock delay on item
3,6638,2,2025-05-11 14:00:17,2025-05-11 14:15:17,2025-05-11 15:11:17,
4,1578,3,2025-06-16 07:00:27,2025-06-16 07:13:27,2025-06-16 07:57:27,Slow packing
5,4688,25,2025-06-26 00:53:42,2025-06-26 01:03:42,2025-06-26 01:20:42,Stock delay on item
6,7636,8,2025-06-24 19:54:12,2025-06-24 20:03:12,2025-06-24 20:53:12,Slow packing
7,9505,30,2025-07-19 18:02:15,2025-07-19 18:18:15,2025-07-19 18:28:15,
8,3556,21,2025-03-06 07:51:33,2025-03-06 08:11:33,2025-03-06 08:25:33,Slow packing
9,4688,38,2025-08-08 05:09:06,2025-08-08 05:24:06,2025-08-08 06:15:06,System issue
10,7433,18,2025-02-12 22:43:49,2025-02-12 22:51:49,2025-02-12 23:01:49,Slow packing
11,7856,12,2025-07-10 13:57:18,2025-07-10 14:15:18,2025-07-10 15:00:18,Stock delay on item
12,1835,37,2025-03-01 14:06:04,2025-03-01 14:16:04,2025-03-01 14:30:04,Stock delay on item
13,6267,10,2025-09-04 17:58:12,2025-09-04 18:13:12,2025-09-04 19:09:12,System issue
14,2679,32,2025-09-07 07:29:52,2025-09-07 07:42:52,2025-09-07 08:09:52,System issue
15,563,48,2025-04-22 19:06:05,2025-04-22 19:17:05,2025-04-22 19:48:05,System issue
16,3723,16,2025-07-25 10:24:25,2025-07-25 10:41:25,2025-07-25 10:59:25,System issue
17,8860,44,2025-01-12 17:01:27,2025-01-12 17:18:27,2025-01-12 17:56:27,Slow packing
18,4518,46,2025-08-23 08:44:16,2025-08-23 08:59:16,2025-08-23 09:10:16,System issue
19,8385,48,2025-07-29 03:14:01,2025-07-29 03:22:01,2025-07-29 04:08:01,
20,8973,45,2025-02-27 05:54:26,2025-02-27 05:59:26,2025-02-27 06:17:26,
21,6109,26,2025-05-20 00:30:58,2025-05-20 00:36:58,2025-05-20 01:11:58,
22,3329,39,2025-08-18 06:52:15,2025-08-18 07:02:15,2025-08-18 07:38:15,Slow packing
23,361,33,2025-03-02 21:31:48,2025-03-02 21:48:48,2025-03-02 22:23:48,System issue
24,6931,46,2025-07-30 17:29:20,2025-07-30 17:49:20,2025-07-30 18:12:20,Stock delay on item
25,2329,23,2025-07-21 21:02:37,2025-07-21 21:07:37,2025-07-21 21:34:37,Slow packing
26,531,35,2025-08-02 00:11:54,2025-08-02 00:24:54,2025-08-02 00:52:54,Slow packing
27,1922,3,2025-04-03 11:10:41,2025-04-03 11:20:41,2025-04-03 11:38:41,
28,9285,40,2025-03-06 14:39:45,2025-03-06 14:49:45,2025-03-06 15:17:45,Stock delay on item
29,1373,11,2025-02-17 03:29:24,2025-02-17 03:39:24,2025-02-17 04:29:24,Slow packing
30,6099,43,2025-08-09 04:17:44,2025-08-09 04:29:44,2025-08-09 04:40:44,Slow packing
